unique_id,sex,age,race
83COa,male,29,hispanic
A0NJP,male,39,caucasian
4AC4k,female,3,indian
BNRwS,female,26,caucasian
qs3lZ,male,26,black
pC59c,male,46,caucasian
DvqJK,male,27,caucasian
rml8V,female,13,caucasian
RTGBe,female,16,caucasian
GCwaa,female,35,caucasian
gLn7N,male,16,caucasian
8OCIP,male,55,caucasian
YyTLG,female,26,asian
8iaj7,female,4,other
3ldHE,female,26,caucasian
s8fiO,male,14,caucasian
zpQUG,male,1,other
6d0kI,male,50,caucasian
mSoFG,male,2,other
gM1pq,female,32,asian
rzT4x,male,17,caucasian
c8TXq,male,26,asian
IbeEO,male,46,asian
ZqMbP,female,39,caucasian
BXxDd,female,32,asian
9QzqZ,male,29,indian
mmPhU,male,23,indian
sWwpW,male,53,indian
FWuOA,male,46,indian
A2RmA,male,9,caucasian
CrZBE,male,43,caucasian
H6rVT,male,43,caucasian
6nraX,male,21,caucasian
bc5MX,male,27,black
0wo7B,male,30,indian
ro3t6,female,27,black
9Ut58,male,47,caucasian
wqQEW,male,40,caucasian
quvxi,male,31,black
MZfoh,female,45,black
Kzgb2,female,96,asian
w11qX,male,35,indian
7JAJH,female,35,indian
EyxcI,female,24,caucasian
2Y79m,female,34,black
9nMo3,male,22,indian
9UfZl,male,40,caucasian
lV5ZP,female,28,asian
Ls6PQ,female,30,black
xXzhO,male,26,black
U7cxO,male,43,hispanic
iYSSs,male,52,indian
v5O6m,female,24,caucasian
G7aGY,female,2,asian
4bLES,female,32,asian
C96b2,female,47,caucasian
isgry,male,65,black
HQwmQ,male,10,caucasian
vszEv,male,64,black
QX2hm,male,26,caucasian
0iQ9v,male,45,indian
0lKUI,male,25,indian
x0DWn,female,49,caucasian
jSBRg,male,53,caucasian
bPXU0,male,32,caucasian
wNihH,male,3,indian
PJ6ai,female,33,black
lIXKO,female,73,caucasian
Kx96X,male,19,caucasian
KI8vd,male,31,black
lHQi4,female,35,caucasian
4jUbi,female,51,caucasian
hhfiX,male,47,asian
x3rcL,female,23,caucasian
r5E3j,male,3,caucasian
vafRj,male,27,asian
g3Ov8,female,35,black
cUXTP,male,23,caucasian
2aXhp,female,34,black
iIktO,female,26,black
eabYD,female,37,caucasian
mqLnj,male,45,black
EFViB,male,56,indian
weMBD,male,49,black
y3a9Z,female,41,asian
f2Z4N,male,44,black
NN21v,female,16,caucasian
uzQkc,female,1,indian
YjnSm,male,48,caucasian
FNhPV,male,40,caucasian
qMw2I,female,1,asian
KAfVp,female,26,black
cbP1j,male,49,hispanic
HtEJp,female,30,caucasian
yeYJX,female,2,asian
VVfji,male,39,caucasian
49zMZ,female,4,asian
qJYDJ,male,37,caucasian
FLgCz,male,30,caucasian
j1HGK,female,1,indian
Dmt2S,male,54,indian
fdTov,male,29,caucasian
HJlyf,female,37,black
8VYsV,female,93,caucasian
K1jup,male,24,black
i4Z38,male,1,indian
Pd9CJ,female,22,asian
Ut1qm,male,68,asian
HV9JA,male,26,black
6XeGC,male,62,asian
1fYmk,male,38,asian
Vpf4a,male,40,asian
3yrBs,female,32,black
2lQ4w,male,27,black
ktrlY,female,21,caucasian
0wJ6g,male,53,caucasian
9kK7J,female,32,caucasian
FxNiN,male,64,caucasian
G3FCN,male,57,indian
w6gAy,male,39,caucasian
ExUYL,male,1,caucasian
k5oAh,male,43,caucasian
wbiqE,female,42,caucasian
NHNaD,male,35,black
gIy3o,male,26,indian
lvsR6,female,34,caucasian
F63dQ,male,36,indian
AxsCy,female,30,caucasian
vzdL4,male,25,caucasian
ZNjdS,male,45,black
UtSGq,female,20,caucasian
AzLjD,female,24,indian
xQwsC,male,35,black
Bf9IZ,male,34,indian
ULLNh,male,10,asian
VKo8Z,female,15,caucasian
AHcUE,female,50,asian
xwhiK,male,63,caucasian
jPSoV,male,25,caucasian
9lOcN,female,31,black
xB606,female,43,black
mB8c6,female,29,black
0EEEq,male,17,black
6zTz3,male,30,black
uUZ7I,male,24,caucasian
SbczV,male,26,asian
Hkg0B,male,68,indian
j5ikl,male,24,black
4BSHo,male,26,caucasian
IUHlL,female,40,indian
JekMu,male,25,caucasian
hXoML,male,25,caucasian
HO7Oj,female,46,caucasian
cEZXN,male,30,caucasian
gT2Jj,female,35,indian
bi3jA,male,22,black
9Dzi9,male,65,black
dRObr,male,31,caucasian
mhavq,male,43,caucasian
A4GXr,male,30,caucasian
2aKfM,male,80,caucasian
6JuiK,female,17,caucasian
fsEXg,male,24,black
OrQMG,male,47,caucasian
8w3lt,male,28,caucasian
zKiB9,male,26,indian
8RZLo,male,10,caucasian
ReAIP,male,17,caucasian
XaWcI,male,17,caucasian
2kyaq,male,21,indian
gs8qn,male,54,caucasian
Cc8IC,male,1,asian
XFN4k,male,54,black
FESgA,female,85,caucasian
mx5Qo,female,35,asian
2QuTp,female,59,black
mo9xe,male,20,caucasian
IXW9T,female,30,asian
Ff2Z3,female,26,indian
Azmfe,female,45,caucasian
q2V3c,male,3,caucasian
jCkeo,male,72,caucasian
RCvx9,male,41,caucasian
DopRU,male,36,caucasian
HRd7i,female,22,asian
Ylws3,female,44,caucasian
ysLLm,male,49,asian
raO05,male,50,caucasian
Rr4Gk,male,24,other
Wtz0y,female,30,black
1pCUM,female,30,black
9MExC,male,47,caucasian
XJ8mG,male,61,asian
lTjU0,male,24,black
s6Xpb,male,14,caucasian
gv5ao,male,55,asian
JLush,female,45,asian
dTs0l,male,68,black
fuEX9,male,13,caucasian
Q19oI,male,40,caucasian
MehQ4,male,41,indian
XOUtv,female,3,caucasian
EF50K,female,18,caucasian
vZaVF,female,1,asian
U8cz9,male,23,caucasian
6Qr2T,female,39,asian
YGQlX,female,51,black
8pRzm,male,21,black
zoBSn,female,23,indian
D2I9s,female,18,asian
fEhbr,male,55,caucasian
qirH0,male,44,caucasian
061KS,male,3,indian
G7oFp,female,25,black
UkEuT,male,44,black
hrk2n,female,10,caucasian
jThQV,female,18,indian
12w8d,male,72,caucasian
9Juu9,female,6,caucasian
8DQ9g,male,2,asian
XWT8L,male,35,asian
2VqtN,female,30,caucasian
nvgSE,female,3,indian
hn74P,female,22,caucasian
xfeR0,male,28,asian
PGmbH,female,40,black
KNOZI,male,35,black
I53Cz,female,38,black
giJnt,male,20,black
2TQhB,male,45,hispanic
dIt58,female,26,caucasian
X34uj,female,22,indian
Mm8mW,female,38,asian
5KbSc,female,21,black
4pfxe,male,38,caucasian
ZNJk1,male,35,caucasian
d7k7y,female,49,caucasian
huqiA,female,77,caucasian
ac8wG,male,52,caucasian
c7WsO,female,36,black
LMO8X,male,26,hispanic
fZ0F5,male,34,indian
owPMn,female,26,black
2QDjr,female,25,indian
jGfOw,male,37,black
QuycE,female,17,black
2BvsH,female,28,black
K9Nkv,female,1,other
4qcEu,male,14,black
r2zeV,female,37,black
XugxJ,female,32,black
5NxyX,male,83,caucasian
YuDAA,female,26,black
NWQbo,male,45,black
XCyV7,female,5,asian
zgIZc,male,20,caucasian
sC7Z7,male,22,black
BlqWC,male,22,caucasian
uCyl1,female,24,asian
iaOZG,male,41,hispanic
w1OCI,male,27,black
BzOuo,male,38,black
fw3dz,female,26,black
IEjsy,male,33,caucasian
y625i,male,8,other
tNS98,male,43,indian
MKIIY,female,35,caucasian
UfEAo,male,25,caucasian
9fxC7,male,1,caucasian
Im9mV,female,29,asian
Xoa64,female,37,caucasian
6PKUc,male,12,other
rM20c,female,41,asian
6CQPa,male,25,caucasian
ldmjJ,female,51,caucasian
l0LaB,male,1,caucasian
E4qp0,female,8,other
0avQ6,female,26,black
Ms5HI,female,26,indian
xeeZo,male,30,black
8ClQ2,female,1,other
gvILN,female,30,indian
pKK7y,female,32,black
bqLqe,male,20,caucasian
2xEMP,female,66,caucasian
f1OuT,male,36,caucasian
ip3UJ,male,47,indian
DxQj7,female,12,caucasian
4cLBo,male,18,caucasian
iemWO,female,60,caucasian
Dn1Vj,male,7,other
oQTMN,male,35,indian
cRm0e,male,19,hispanic
CZbWb,female,38,black
a1FBK,male,68,caucasian
myH2K,female,27,black
Aw7nr,male,32,asian
p2UKF,female,66,caucasian
M9APo,female,26,black
QSmAr,male,24,indian
xYXJ3,male,56,caucasian
0WmfQ,female,8,caucasian
ig9Cz,male,18,black
4whtY,female,31,indian
3LXLa,male,40,caucasian
e1RbY,male,38,caucasian
dGtId,male,19,caucasian
rXxSS,male,70,caucasian
eMrtR,male,30,caucasian
8c1KM,male,90,caucasian
3uOQU,male,30,indian
otrRS,female,4,black
7FERv,female,1,indian
Kok0y,male,41,black
UeMZW,female,30,indian
tTmBi,female,12,other
AL42T,male,21,black
DX7nW,female,34,black
jpSje,female,35,caucasian
c0HaD,female,22,black
GvobK,female,49,black
qwP3g,male,4,caucasian
uUIh7,male,63,caucasian
qqkSN,male,45,black
Ug9Q5,male,38,black
VYduZ,male,19,caucasian
FeCkR,male,32,caucasian
Ta7Kw,female,51,indian
uJxs6,female,26,asian
Caxsy,female,3,black
3wvgR,female,27,indian
naAxy,female,56,caucasian
hh1RW,female,19,caucasian
roQ7r,male,31,black
v2igr,male,27,caucasian
Kkc5F,male,40,indian
Hp3bE,male,15,caucasian
WeqMJ,female,24,black
xXTVN,male,16,caucasian
oWV9V,male,31,black
wL6Wr,female,58,caucasian
TkKUW,female,25,caucasian
OZuOV,female,26,caucasian
am9M7,male,16,caucasian
WSXde,female,50,black
Dodd4,female,27,black
NGfIR,male,26,indian
9WZoP,female,32,asian
2WAkD,male,70,indian
5ecgf,male,50,caucasian
ifVco,female,43,caucasian
jKky8,male,50,caucasian
3dWBW,female,26,indian
uOrbz,female,1,other
fE693,male,49,caucasian
8EMHs,male,20,caucasian
TLhDu,female,5,caucasian
Hz0Ut,male,57,caucasian
WAGui,male,26,indian
QsNY3,male,32,black
c8ajE,female,26,caucasian
TRE3k,male,53,black
bxeoL,male,35,caucasian
RGObB,female,56,black
0KgBu,male,36,caucasian
YVZGV,female,26,indian
Oc0FG,male,30,caucasian
6qRll,male,31,asian
Ztxf0,male,55,indian
Uafy5,male,35,caucasian
IagET,female,26,caucasian
i6yHT,female,17,caucasian
AT6IU,female,25,indian
9zqe7,male,23,black
MiAGF,male,35,black
bDZOg,male,53,black
6Oe3e,female,35,caucasian
Z8YsW,male,56,indian
xQpAD,male,43,caucasian
GwWBz,female,31,black
lRkh1,male,29,black
YGpSI,female,27,indian
dimsb,male,38,black
yN4so,male,29,caucasian
w0NRB,male,75,caucasian
IIk7w,female,74,caucasian
PjyFC,male,53,indian
LBYcq,female,24,asian
7f8eo,male,34,black
NQYFN,male,25,caucasian
RQN15,male,22,black
VKyJi,male,27,asian
EJ3zr,male,31,hispanic
zJmSo,female,38,black
yJB4W,male,20,asian
IIBX1,female,1,indian
9UJuv,female,28,caucasian
GaV14,male,22,caucasian
cFaHr,male,4,indian
r1oYB,male,35,caucasian
n4v69,male,56,caucasian
6C2W0,female,35,caucasian
cFZjD,female,25,black
UAr8z,female,29,black
ZN7JG,male,12,caucasian
w4Nx5,female,76,caucasian
SWFxv,female,30,caucasian
dyTfH,male,59,caucasian
dURhf,male,26,hispanic
IpWEj,male,21,caucasian
7qKoH,male,60,caucasian
qbO7a,female,73,indian
Jdfoc,male,27,black
YDQkZ,female,26,asian
nKKDO,female,39,caucasian
9bnzM,female,20,asian
0dduH,male,36,caucasian
sbvjF,male,32,black
VdlgG,male,85,caucasian
tYK2q,male,20,black
4GplV,male,26,caucasian
PkbSd,male,30,caucasian
THrqi,male,60,caucasian
LFxX7,female,32,asian
8D8xe,female,26,asian
vluSr,female,33,black
iWPvn,female,30,asian
T9eOz,male,36,black
6LDUY,male,46,caucasian
Qumgt,female,21,black
aMaOL,male,58,indian
lk1sS,male,25,black
bjaUu,male,36,indian
OPF6i,male,29,caucasian
3EPSK,female,55,caucasian
5faQp,male,40,caucasian
vQw3m,male,42,caucasian
v1gw1,male,28,black
bl4It,female,85,caucasian
cX74B,male,12,indian
E9QX7,male,28,black
SZcug,male,32,caucasian
IMVhe,male,29,black
elH1B,female,3,asian
DEcyL,female,51,caucasian
qxPVx,female,43,indian
HhkJb,male,42,indian
T4DXo,female,58,caucasian
D7MOa,male,27,hispanic
PH7iy,male,22,black
TESzu,male,30,asian
KKKzs,male,29,black
XWJvN,male,21,black
Uqa6U,male,32,black
qPhX5,male,35,black
2bAvZ,female,80,caucasian
oje3v,female,78,caucasian
YjcBD,female,90,caucasian
YArgO,male,18,caucasian
YKECe,female,23,asian
mfmG5,male,50,black
RiQ48,male,60,black
xghro,female,39,caucasian
2nXQA,male,31,caucasian
KSLgk,male,52,caucasian
LHHQu,female,40,caucasian
tVFj5,male,57,black
cXF8a,male,32,caucasian
FnR5Q,female,39,indian
0wpo6,male,23,black
1JbQz,female,73,caucasian
Diz6z,male,47,caucasian
oQZLl,male,28,black
BLbUH,male,45,caucasian
D6B8I,female,23,indian
fqdLC,female,27,black
BDQXQ,female,2,black
amGSK,female,1,asian
V9rOk,male,22,hispanic
KrRqH,male,58,caucasian
XMp6r,female,46,black
SOV96,male,41,hispanic
Z0Nfn,male,34,caucasian
bnUSs,male,50,black
E6Aan,female,36,black
T6j1C,male,30,black
M5U1w,male,55,black
yeZyt,female,23,indian
fd8Cr,male,35,caucasian
2A1zw,female,28,asian
I7M4Y,male,42,caucasian
xs6Kc,male,4,caucasian
1MSco,male,20,black
kqtlV,male,37,asian
we1k9,male,44,indian
hpSwM,female,1,caucasian
Q28jJ,female,2,caucasian
nshVt,male,27,caucasian
urcOg,female,26,asian
iGfPY,male,40,caucasian
yNmWR,female,58,hispanic
r8Lo4,male,21,indian
pWWhx,male,22,caucasian
WD7xG,female,34,caucasian
TNQ90,male,24,asian
2i4Wq,male,29,black
j0owV,male,48,caucasian
ZzoPW,male,29,caucasian
C8X1X,female,53,black
0920o,female,16,caucasian
FK2av,male,55,asian
zLNES,female,28,asian
d9GSl,male,20,caucasian
btky9,male,36,black
oaIC4,male,50,other
nGaZU,male,30,caucasian
7adEH,female,26,asian
MoNEX,male,16,caucasian
3PHuJ,male,54,black
TA4Zq,male,22,caucasian
yiZrw,male,35,black
dURPT,female,26,black
6O9ey,male,37,indian
ysv2O,male,22,caucasian
k3Qwe,male,36,caucasian
yadyA,female,4,caucasian
58IjC,female,38,other
13vc7,male,30,black
hDaJ4,male,9,caucasian
sJVbS,female,29,asian
6Z6jZ,female,95,caucasian
BV3QJ,male,42,caucasian
rTH7Z,female,1,other
85FBs,male,39,indian
W2XZX,male,36,caucasian
6Mq8O,female,26,caucasian
R5bCP,female,24,indian
Ey6Mm,female,25,black
GbWep,female,28,indian
B91JO,male,35,black
1gmNz,female,30,black
khzR9,male,46,caucasian
B6C3t,male,2,caucasian
bNqGH,male,30,caucasian
Zct2T,male,16,black
MRuYN,male,45,caucasian
v8P8e,male,14,indian
cKJUl,male,55,caucasian
WFhcZ,male,20,black
1m9fm,female,1,other
eZ3Og,female,26,asian
iU5Hb,male,47,black
CX5Q7,male,41,asian
YoXUi,male,24,other
jbJyZ,female,26,hispanic
qhtt5,female,40,black
2eJvH,female,28,caucasian
PVKYP,male,51,caucasian
4tce6,male,56,caucasian
HMlb9,female,3,black
vXTSi,male,80,caucasian
eV6Sq,female,28,asian
nEInm,female,26,caucasian
v5IYH,male,37,indian
P62NT,female,8,caucasian
OeKUa,male,26,other
X6ZaC,male,57,caucasian
Xs5AI,male,35,asian
kPcPw,male,13,asian
slCPx,male,43,caucasian
irioS,female,5,caucasian
8Ay11,female,38,asian
gbJ12,female,28,black
AdPca,male,26,other
05S43,female,11,caucasian
D5oTk,female,49,caucasian
8JloX,female,26,black
icyBk,female,24,indian
wKb7n,male,7,indian
iPfi5,female,27,indian
6WlfN,female,21,caucasian
Ptmys,female,35,caucasian
0zevI,female,45,caucasian
kIhJq,male,56,black
4paAL,male,40,caucasian
MSSxQ,female,20,hispanic
pKdQO,female,32,caucasian
NDA2I,female,26,black
2Zq05,male,26,asian
jVk6v,male,20,black
CUSrC,male,1,indian
Z3f2M,female,19,caucasian
McjMc,male,36,caucasian
23O5y,female,23,caucasian
YPHCl,male,34,black
Ia1Hg,male,26,asian
RUG2G,female,25,caucasian
Kqndi,male,78,caucasian
QYFbP,male,17,caucasian
VtVZk,male,1,black
UqNlr,female,45,caucasian
B4R8R,male,30,caucasian
7ZuRQ,male,35,asian
1lxXo,female,32,asian
8KLnx,male,35,caucasian
OSnUW,male,32,black
a9X17,male,48,indian
x8aWy,female,24,asian
ewR6s,female,35,black
2V0KH,female,40,caucasian
e4NXd,female,43,caucasian
2JQuq,female,8,caucasian
i1HWz,male,86,asian
36WvC,female,39,caucasian
TFSo3,female,5,caucasian
oZdEs,male,34,caucasian
zitx8,female,45,caucasian
vAf3g,male,30,indian
Ow7sH,male,40,black
ka9Lc,male,65,indian
0vVFk,male,56,indian
FPVmK,female,24,indian
9LD00,male,24,black
EwyFr,male,25,black
IyRJp,male,23,hispanic
veYsu,male,26,black
gld4n,female,26,black
NMbxI,female,32,black
MJii8,female,30,asian
Wj6da,male,61,caucasian
d5jRh,male,55,caucasian
38i1k,male,24,caucasian
4mr1C,female,69,caucasian
0llxp,female,26,black
nItGh,male,23,black
YSXkZ,female,1,caucasian
tX2l6,male,60,black
8aA4v,male,33,caucasian
0OpBx,female,8,caucasian
zHdmE,male,1,asian
yeslb,female,8,caucasian
7xg0k,male,36,black
P3TKa,female,30,caucasian
0tiJj,female,60,caucasian
iTkCR,female,29,black
8buMn,female,30,indian
qWNYZ,male,3,indian
mHVly,male,41,asian
WSYF3,male,58,caucasian
rXRkV,male,25,caucasian
r5HaN,male,23,asian
D2uXp,female,33,black
V4ehb,male,77,caucasian
K0irK,male,35,asian
7WzND,female,56,black
dFBR8,male,29,black
3kIBS,male,28,caucasian
eISms,male,34,indian
0cglP,male,70,asian
ZY5gf,male,42,caucasian
FNXtK,male,52,caucasian
E6PQ9,male,80,caucasian
dIXLi,female,26,asian
dxZ7A,female,25,indian
zl1yR,female,8,caucasian
ELl3A,male,26,indian
3Zp2B,female,30,black
dI7r0,male,14,asian
lV9in,male,26,caucasian
N92Bp,female,25,indian
DNi1N,male,1,asian
Y43Iv,male,36,other
ftbqB,female,23,caucasian
ETBW2,male,20,caucasian
8VKHF,female,7,caucasian
4GEKO,male,25,black
4Gzue,male,39,caucasian
MfxXj,female,24,asian
i1Hz3,male,2,asian
gZr8j,male,50,indian
5rm5D,female,50,caucasian
kUljq,male,32,caucasian
5tiJ6,male,28,indian
EPW4g,male,17,caucasian
7ZatM,male,20,other
UQmgQ,male,76,asian
iq1o4,male,26,caucasian
lAR5c,female,1,asian
wNqGM,male,55,hispanic
CMkBO,male,26,indian
UMDN5,female,32,black
q1wOO,female,34,black
tZKA3,female,25,asian
DqURu,female,31,black
sNyhw,female,32,black
sAL4b,female,60,caucasian
mT7li,male,20,black
orm7i,male,26,asian
wbByl,male,35,black
cFmIf,male,52,caucasian
osSGw,female,56,black
ER5Sn,female,35,indian
7UFFb,male,35,indian
p5a3w,female,24,caucasian
6weUX,male,19,asian
dK8AA,female,90,caucasian
KcVte,male,25,black
yw6ze,male,19,black
lUbsX,male,9,caucasian
DHIRh,male,59,caucasian
szvkS,female,16,other
5xZws,male,15,caucasian
ypTZE,male,24,caucasian
rrN3o,female,24,caucasian
Q2lEv,male,36,caucasian
AlsKc,female,45,black
UC79K,male,32,caucasian
gHHDZ,male,27,caucasian
CaH7M,male,31,indian
WMFdy,female,42,hispanic
gN3Gv,female,52,black
9gxjw,female,4,caucasian
qpdyn,male,50,caucasian
L1Qdn,male,28,black
bZeHS,male,10,other
v93JN,female,60,caucasian
hkaZm,male,20,caucasian
1zLjQ,male,29,indian
Bp0tS,female,28,asian
2ofCH,female,26,indian
ULMFc,male,61,indian
tpUog,male,23,caucasian
eqG4g,female,2,black
J0fev,male,61,caucasian
ky5he,male,40,caucasian
xvWgh,female,38,caucasian
CATZz,male,26,caucasian
jsM3f,male,25,asian
iJKUW,male,30,black
OgioE,female,26,hispanic
qvJEO,female,31,asian
8pJH0,female,6,asian
fK1ZM,male,26,asian
6XYmN,male,1,asian
vzC40,female,45,caucasian
skgCV,male,30,caucasian
wLyS7,female,28,black
sosvE,female,64,hispanic
Cy60C,male,10,caucasian
nUGeV,male,8,asian
kLCdw,male,30,caucasian
BelUD,male,42,caucasian
dCCMk,male,24,caucasian
S3oEC,male,18,black
lpEGP,male,46,caucasian
nDbEP,female,42,caucasian
gIAlx,male,62,black
nbjkP,female,20,caucasian
bFaIA,female,18,caucasian
KckuD,female,24,asian
T4ZQY,female,35,black
qBnNU,male,35,asian
RLUpi,male,20,caucasian
BsdvB,female,26,black
wKJi5,female,31,caucasian
uUXNS,male,1,indian
8sZm7,male,3,other
fXPW8,male,60,indian
ItWRD,female,78,caucasian
1TgJh,female,5,caucasian
soX6e,male,27,black
C1WIT,male,36,other
LoUYk,female,7,black
8wMYP,female,29,asian
QIuZ1,male,34,caucasian
bTdnd,female,35,black
jngIm,female,24,black
wq1oH,male,51,black
tX2RM,male,32,black
zoCTC,male,70,caucasian
VaEYc,female,37,black
MCn0v,female,35,asian
Hcja0,male,20,black
d23HG,male,26,caucasian
Jsj3x,male,23,black
fExrp,female,22,indian
75Wk8,male,39,indian
VNtrU,female,40,caucasian
goGSl,female,1,other
RsXME,female,22,asian
JvpkJ,male,40,asian
ZjafS,male,30,caucasian
tjvfS,male,30,caucasian
LTUsY,female,2,asian
zzlyV,male,26,asian
BTAY3,female,44,caucasian
Pzl5V,male,33,hispanic
S4yeg,male,34,hispanic
NqRp2,female,31,black
SxA9o,male,63,other
yZVjT,male,27,caucasian
UwxjJ,male,20,other
hPKNy,male,80,asian
VLyTn,male,65,black
yRAS7,female,2,asian
GR2bC,female,4,asian
MviI1,female,4,caucasian
Tq7B3,female,24,asian
ljF0V,female,26,black
VNCFx,male,28,caucasian
Xo8gW,male,47,indian
dPFIX,female,4,indian
SLU3c,female,4,other
WSAf2,male,40,black
fWy6d,male,28,indian
pMFsQ,male,36,black
CIhZm,female,30,caucasian
Yt7RC,male,46,caucasian
8JCFF,female,25,black
9YE9n,male,25,black
VoWWF,female,29,caucasian
PvBGW,male,20,caucasian
W1XSd,male,54,indian
MOIh3,male,46,black
mZfxh,male,35,asian
dlp6O,male,75,caucasian
MRWaO,male,75,asian
9qstN,male,30,other
QlBes,female,6,indian
zjM89,female,20,asian
hFt90,female,5,asian
JoftL,male,48,asian
oZ26B,male,1,asian
DxhBM,female,8,caucasian
T9b5m,male,44,black
fvpJf,female,43,caucasian
ha3Do,male,18,black
PXRVX,female,17,caucasian
3cTd5,male,10,black
HP9qi,male,40,caucasian
gou73,male,50,caucasian
6IxbK,male,22,caucasian
C6YBI,male,32,black
2wrlw,male,28,caucasian
LMHrL,male,45,caucasian
iHZkG,female,46,black
0BzL4,male,35,black
nPblB,female,1,black
Q9PtF,female,32,hispanic
Nj7eK,male,25,caucasian
HVA6H,male,32,caucasian
l2QE7,female,39,black
05auL,male,27,black
Nthho,female,8,black
6SKEe,female,28,hispanic
8pG5Z,male,58,caucasian
Q1IKB,male,1,caucasian
xPQB5,male,48,caucasian
HhRRp,female,48,caucasian
hVgu0,female,68,indian
wip2P,male,70,caucasian
DlAog,female,7,other
PAetB,female,73,hispanic
gBi3s,male,1,indian
HSB5Q,female,26,caucasian
5rkVU,male,41,caucasian
8BNNn,female,45,caucasian
9HtWx,female,38,black
KpGys,male,28,black
KFgud,male,36,indian
Wnz0E,male,67,black
MK9XZ,male,55,caucasian
ZCeib,male,1,asian
6tvFr,male,78,asian
UxzmQ,male,1,caucasian
UqRdY,male,4,indian
qGRlt,female,24,other
5FA1n,male,54,indian
GTMPN,female,28,asian
UTmM1,female,26,asian
QZH3s,male,35,black
njUqb,female,1,asian
S3nO2,male,32,caucasian
0czFY,female,23,black
BVyKu,female,6,caucasian
Rm2Lf,male,80,asian
9yBst,female,24,asian
iVAY7,male,25,asian
pg6H0,female,23,caucasian
1BPlF,female,41,asian
eNStL,male,36,caucasian
1b6sb,female,70,caucasian
Hl5x4,male,43,asian
fZyMu,female,69,caucasian
mDyDb,male,68,caucasian
1v2EN,male,57,caucasian
7XW3p,female,21,caucasian
DbQik,male,7,asian
Mriv2,female,22,asian
eh7db,male,29,black
mBQPR,male,24,black
bzajM,male,35,caucasian
wCqkr,male,50,caucasian
NV84k,female,27,black
5boR0,male,30,caucasian
GG95O,male,36,caucasian
vSjlb,male,73,caucasian
pkiux,female,28,black
zjiDL,male,50,caucasian
6kVwP,male,25,indian
7faMx,female,85,caucasian
